start,end,interval,speaker,text
0.0,5.36,5.359999999999999,0.0,这位老人家您在此地站了三日三夜，可是在等人，
5.36,14.35,8.989999999999998,1.0,老夫在看人看人故人之后，不得不看你， 竟然没有死。
14.35,20.44,6.090000000000002,1.0,在中州魔主胡正明手上真是让老夫意外啊，
20.44,24.58,4.139999999999997,0.0,我我死老人家，您在说什么呢？
24.58,27.23,2.650000000000002,0.0,中州魔主胡正明又是谁啊？
27.23,29.07,1.8399999999999999,0.0,呵呵哈哈，
29.07,37.58,8.509999999999998,1.0,这些你暂时不用知晓老夫且问你，你可想知道你父母的消息。
37.58,44.94,7.359999999999999,0.0,当然想村里的小伙伴们都有父母，从小到大， 他们都说我是野生的。
44.94,56.01,11.07,1.0,既然如此， 你沿路北上老夫在山巅，等你穿上这件衣服，当可御寒。
56.01,59.15,3.1400000000000006,0.0,哇， 这件衣服真漂亮。
59.15,64.71,5.559999999999995,0.0,对了， 我该怎么称呼，您总不能老人家，老人家的叫吧，
64.71,69.35,4.640000000000001,1.0,老夫张继龙， 你就叫张老吧。
69.35,74.25,4.900000000000006,1.0,正午之前， 记得到山巅，与老夫会合，
74.25,75.185,0.9350000000000024,0.0,知道了。
